101 games,21,A game belonging to the action category
Acoustic Memory,20,Acoustic-Memory is a memory game with sound. The goal of the game is to find all pairs of cards with the same sound.
ArabianFlights,21,Arabian Flights is a 3d first-person shooter developed in Java using the Java3D library. It is loosely based on the game Magic Carpet.
BagaturEngine,20,Bagatur chess engine and tools.
BloodBall,20,"Adaption of the ""Blood Bowl"" board game."
Board Games 1,20,A collection of board games 1
Board Games2,20,A collection of board games 2
BolzPlatz,21, It's a freeware 3D-soccer-game in comic-style and a funny allusion to the World Cup 2006 in Germany
catchanimals,21,Arcade Game with Libgdx
ChessGame0.6,20,A chess game
Chess-master,20,A chess game
ChessOOP,20,A chess game
Chessy,20,A chess game
ChineseChessPro,20,A chess game
CRG ScoreBoard,21,Scoreboard for WFTDA roller derby leagues.
Dehiscent RPG,21,An RPG game
Divine RPG,21,DivineRPG is one of the most ambitious and extensive Minecraft mods
Dominion,13,Card game Dominion in Java
Doom77,21,Java Doom Parody
DragonChess,20,A chess game
dungeon master,21,a dungeon game
Dusk,21,"..Dusk is a multiplayer game engine, written in java"
EBFCheckers,20,A checkers game
find-sec-bugs,19,Plugin for security audits java
FlAppSrc,21,Fabled Lands game series in Java
Flesh Snatcher,21,Flesh Snatcher is a Java FPS game with a survival/horror ambiance
FruitWar,19,Battles between java programs
GoGui,20,Graphical Interface for programs that play go
hallway rush,21,Zombie Game
Hunger Games Board master,20,A board game based on hunger games
IBan4j,19,Biz Utility. Java library for generating valid IBAN
IHM ,21,Ice Hockey Manager
Jake2Src,21,Java port of the Quake2 game engine
JavaBoardGames,20,A collection of board games
JavaSolitaire,13,Solitaire game Java
JavaTrek,21,Game called Java Trek
JDIveLog,21,Scuba diving log
Jexcelapi,19,Library that reads ms excel spreadsheet
Jmario,21,Supermario Clone - SideScrolling Game
Jmines,20,A minesweeper clone
Jsettlers,20,JSettlers2 is a web-based version of the board game Settlers of Catan written in Java
Jshooter,21,Java Space Shooter Game
Jskat,13,JSkat is an implementation of the German card game Skat in Java
Jtarot,13,JTarot is an implementation of the  card game Tarot in Java
Magic Assistant,13,"Magic Assistant is multi-platform application for ""Magic: The Gathering"" players"
MareInternum,21,Turn Based MultiPlayer Strategy Game in old days of Come
MegaBlock,13,Tetris Clone
MegaMek,20,MegaMek is a networked Java clone of BattleTech
Muehle2d,20,Nine men's Morris with AI
Napsack,19,Napsack is a specialized multi-threaded client for broadcasting Napster queries across multiple servers
NitsLoch,21,You can collect weapon items and attack enemies
PacDasher,21,Pacman Clone
penguincards,13,PenguinCards is a java-based Card game
Pixel Dungeon Master,21,Dungeon Crawling Game
Prefuse,19,For creating rich data visualizations
Qake,21,An FPS game
Raytracer,19,3D scene rendering engine
RobotChase,20,"RobotChase is a game in which the player moves about on a rectangular grid, while trying to escape or destroy advancing robots."
RPG Mster,21,An rpg game
Scorch,21,"Side Scrolling Game - A port of the cool tank shooting game Scorched Earth to Java, to be enjoyed by people on every platform"
ShoddyBattle,21,Shoddy Battle (later known as Pokémon Lab) is a Pokémon simulator created by Cathy and bearzly and first released in July 2007.
Simbad0,19,Java 3D Robot Simulator
Soccer Edu,21,An game about soccer in java
solitaire4jv,13,Solitaire card game in Java
Stigma Client,21,Multiplayer online game
Stratego,20,Remake of the classic stratego game
Sudoku-JavaGUI,13,The Sudoku Game in Java
TarsosDSP,19,Real time audio processing
telescope,19,Android Utility Bug report capture
TexasHoldemPro,13,A card game based in Java for poker
Thai-Go,20, The game GO
TowerDefense,21,A game in which the player is required to defend a tower.
TrickTaking,13,A game involving card tricks
University Game,21,A game set in a university
Via Adventurica,21,An adventure rpg game
Video Toons,21,Toons fighting each other
Virtual Evil,21,An action game named virtual evil
WireMock,19,Communication - Web Service Test Double
Yaha-1.0,20,Yaha! is a math game where players compete to calculate with four numbers so that the result equals to twenty-four
